ExperienceYears,WorkHoursPerWeek,SkillScore,ProjectsHandled,TrainingHours,PerformanceScore
6,49,5,13,19,65.38816330613821
19,57,5,10,0,79.94274309158651
14,40,6,4,71,85.08243655181313
10,33,7,5,86,94.61164943358544
7,44,1,5,62,45.695156744362016
6,35,9,14,66,100.0
18,51,3,4,3,57.170109796091026
10,46,4,9,57,67.65777563621933
10,59,10,6,24,80.85938259447263
3,53,1,9,46,31.445444087225734
7,35,10,7,37,88.91910466152207
2,48,3,6,14,30.157325457686337
1,59,2,4,62,15.190159013728953
11,54,2,0,20,20.31963006924982
5,31,1,12,98,80.75824007741991
1,44,8,4,56,66.68921180444137
0,40,3,9,52,51.441470430514315
11,37,3,1,45,48.541912150905496
11,55,6,12,13,69.96726593858101
16,48,8,4,99,93.45908604345477
9,42,9,4,75,78.56087580374823
15,41,9,1,16,76.57433453241819
14,34,4,4,38,79.82026947931092
14,35,5,12,8,91.48320397710788
18,55,2,3,98,62.74357930400152
11,51,9,0,76,65.06758955095755
19,33,8,2,78,100.0
2,48,3,0,81,36.388033665323555
4,49,9,11,96,99.15510778279939
18,30,3,10,5,100.0
6,49,9,14,90,100.0
8,46,2,4,22,40.24258557074778
6,41,10,3,58,87.90966938365767
17,44,9,6,90,100.0
3,30,8,4,97,79.6381126920747
13,55,9,9,45,95.94481677617199
17,43,5,13,37,100.0
8,35,2,3,13,40.612350895222704
1,34,8,1,99,72.28947458239345
19,59,6,3,71,75.03140439858686
14,40,8,11,61,100.0
6,33,5,1,34,56.978647680786544
11,42,10,7,18,91.065714329699
7,40,2,2,29,35.58648102638358
14,32,6,8,77,100.0
2,30,5,12,83,100.0
13,35,5,3,24,80.43217794486604
16,47,1,12,39,75.96488341363866
3,53,2,5,87,39.60004913372804
17,39,8,9,13,100.0
7,34,3,4,25,48.645819816332526
3,52,10,9,86,91.34849926356291
1,39,3,12,21,62.04171474743073
5,41,8,0,47,65.63930718038372
9,31,8,8,82,100.0
3,42,2,0,50,19.302971080997416
17,37,8,7,2,98.50691105552353
11,31,1,8,41,70.08863831160818
1,49,6,8,18,56.21431976866904
9,30,8,0,72,84.98771887906136
3,34,3,1,27,34.64293384944858
13,38,8,11,83,100.0
15,46,1,12,44,75.30522238137226
14,38,9,0,70,97.72508214993894
7,40,9,9,77,100.0
13,44,5,1,62,60.48458293223719
7,53,10,9,72,94.64804515035915
15,35,4,11,18,92.59242659669266
12,52,6,7,46,64.34503322162664
17,32,7,4,13,91.52173969188915
14,59,5,11,37,73.89630877296997
12,46,10,10,52,100.0
8,34,9,6,60,100.0
14,59,3,1,35,30.07160201694002
12,57,7,7,39,73.07809309762268
0,41,10,10,80,94.26071500078135
6,47,10,5,29,76.33847502823392
8,43,5,7,8,62.658931455229336
0,50,7,0,63,31.062128080544994
11,53,2,14,32,68.35830445867391
7,40,4,0,51,55.64473744856603
10,38,2,11,88,74.81618327060637
18,31,7,6,13,100.0
16,41,2,7,74,82.4161966241191
7,32,1,12,52,74.90809623976799
2,32,9,2,98,86.03983476058016
2,30,1,4,58,30.72166994453692
0,37,8,11,77,94.39124687314975
4,51,2,0,93,21.79155896883201
9,57,8,6,40,68.54938642291573
6,58,3,4,67,34.25282634545255
8,37,6,7,67,94.79166514580817
6,40,3,12,91,83.93347661882937
8,38,7,7,7,74.83688085368608
7,34,10,8,1,86.65153620373223
11,43,9,6,85,99.60573450924949
1,57,2,10,40,37.11614439173411
0,59,5,0,54,16.39724054090388
15,32,6,12,15,100.0
4,50,4,2,92,39.53706668076841
2,34,4,7,61,65.87570717727661
11,34,4,2,47,67.19693969654578
7,48,2,7,29,49.60605057660559
2,56,4,0,11,5.22500053394821
0,43,1,4,34,23.429887792088085
2,55,6,3,10,29.391480227910666
4,59,1,4,63,18.138828976833597
14,33,10,7,49,100.0
13,54,6,9,84,87.83828126812473
2,42,1,14,20,55.64384052895787
0,39,6,13,68,78.31264403902094
4,54,10,3,47,58.65094296416771
13,47,8,10,19,100.0
6,37,2,3,66,46.097137662595806
8,37,2,14,43,81.13007199008948
14,36,4,2,32,69.67333156021593
14,37,3,6,72,80.7172153618041
9,43,4,2,60,55.732613154860196
12,48,7,11,8,90.07288839621877
18,58,1,2,67,31.816681195515
6,35,6,10,34,81.35024922419733
16,30,3,9,80,100.0
19,52,10,4,97,100.0
3,44,7,4,87,66.73047779827887
4,30,10,13,95,100.0
6,54,2,5,64,31.709569751947484
12,46,2,7,7,54.81930601726537
14,30,4,9,44,92.71113208804056
10,44,1,5,86,53.16399977104832
3,52,3,14,46,63.275150968861595
12,31,9,11,39,100.0
6,43,7,0,75,69.00183755754041
18,50,7,14,53,100.0
1,37,4,7,75,62.20968184736786
9,37,2,7,45,52.47651493251864
12,48,4,8,46,67.08729444797481
5,36,6,8,14,77.02344023182548
11,48,3,1,18,26.019164101670608
11,35,1,14,25,84.63100043594571
19,35,8,1,51,94.83151951883808
10,32,5,2,92,79.83582220110097
6,36,5,0,21,48.487622067425555
0,48,4,3,20,27.20710749745463
0,37,6,13,50,77.67524674184587
19,39,3,3,37,68.57725426732489
12,49,9,13,19,95.49221911374592
8,44,5,8,28,69.0589816579404
2,44,3,8,50,57.51027577007963
6,58,1,8,3,14.477795566617688
5,30,10,9,54,100.0
7,49,6,6,70,66.09112362058534
8,59,2,13,91,65.06670711856778
4,36,3,14,27,78.79588150717214
0,56,1,1,3,0.0
18,33,9,9,21,100.0
9,58,8,4,75,72.5156535303487
11,35,2,3,44,58.10997783531652
14,54,8,11,66,100.0
8,30,9,10,85,100.0
19,58,1,7,65,63.915761054599294
16,34,5,1,87,80.11845304384867
16,56,8,5,33,73.6365285890696
19,52,2,12,90,93.73050493434663
11,30,4,4,54,66.67482015376545
6,59,7,14,0,70.46089754818243
1,33,3,11,71,69.61720823868744
2,51,5,1,86,31.171226346735224
16,31,8,10,37,100.0
4,39,10,9,5,86.45511953852325
16,34,3,14,85,100.0
16,56,4,0,24,37.53521004371094
16,39,9,7,81,100.0
1,30,7,1,16,53.51589613778258
1,51,1,6,60,32.55192351084985
4,35,4,8,11,56.17754195609976
0,42,4,8,5,42.75595205947316
0,44,9,7,89,81.64241801668497
18,33,6,10,26,100.0
1,42,9,13,7,90.16512073572619
11,53,6,11,82,77.36218137354868
5,49,6,9,64,82.9120276939497
3,53,5,8,56,57.48887303497581
10,44,5,1,92,61.53234085482492
16,58,2,5,98,55.83839163211327
5,37,8,3,39,65.46789694275722
4,34,8,13,13,98.82807737084867
19,58,1,3,34,45.77490834396177
1,44,8,4,47,58.587369359350504
5,33,5,11,83,97.1349520648925
10,41,2,2,55,41.46369976619439
15,42,2,13,48,81.18094575006582
15,31,6,0,12,80.46670602622775
0,56,9,7,60,64.95554306769272
8,48,1,4,48,41.584241009066645
5,48,6,2,45,42.73030145806153
15,33,9,9,61,100.0
2,33,8,13,7,89.60695340271229
19,55,6,6,42,75.27970579230495
3,40,3,6,19,46.32682605114225
18,56,8,0,96,75.44436971536777
2,34,9,11,89,99.94165070966355
18,49,1,8,38,64.31007706127616
19,40,9,14,84,100.0
6,59,6,1,48,26.602680342623053
19,39,6,4,63,94.26628616930638
8,37,4,12,61,78.45389978494896
0,35,1,13,53,63.476396981477116
7,35,10,4,8,75.62333136873602
6,37,8,13,87,100.0
17,52,2,7,36,58.73101674929603
7,44,1,13,48,64.32297251648242
0,55,2,7,40,26.457375318409703
10,43,1,13,16,65.06007849507927
17,40,1,6,87,69.10343689441129
9,41,9,6,20,87.56530590463302
2,55,1,11,50,41.80069253239873
6,42,4,10,58,65.5711893577223
15,37,10,5,38,100.0
15,59,6,5,54,65.4277998644549
19,47,7,10,40,100.0
16,54,2,8,38,58.57538104112945
1,30,6,5,12,59.060611139635114
0,44,7,11,63,79.80907765120845
15,37,10,12,10,100.0
11,57,10,12,18,98.28686567630412
4,40,2,1,10,28.705663657656252
4,41,2,1,76,43.370674967444344
8,41,10,12,45,99.28316337931321
8,33,7,4,44,77.8854917144239
2,45,1,14,0,36.174497128232055
18,33,8,3,39,87.62468155113588
15,34,3,10,18,85.32046523803739
15,53,6,1,75,63.004241035748194
2,34,9,14,71,100.0
19,37,6,14,71,100.0
0,39,9,2,60,70.2394797905396
19,46,7,6,11,87.4696021265289
10,57,9,7,60,95.61677808659545
16,55,2,11,32,67.93204927492607
7,38,8,12,44,100.0
3,51,8,5,89,56.135810997378755
5,48,2,10,91,66.94869764775312
7,58,4,4,68,40.6961975510222
19,43,7,12,7,97.65826370286365
2,37,4,0,24,33.9027255461406
15,38,4,7,90,89.48522231007841
2,51,6,2,45,40.90026624224071
17,40,10,14,86,100.0
13,52,6,5,29,57.35424941619202
17,30,10,2,46,100.0
1,43,3,6,86,49.232397421103585
2,34,9,12,48,100.0
15,50,10,13,46,100.0
8,55,2,6,83,43.2479555373429
3,43,6,11,81,82.33527020344476
0,33,7,14,17,87.90930353189927
3,51,9,8,65,73.68607599254132
0,52,3,4,67,25.91847634522358
13,54,10,14,93,100.0
15,30,3,7,32,80.22677455104903
19,51,7,9,35,99.3815502999879
7,52,4,9,81,64.51322913046928
6,48,8,7,18,73.64532648023663
2,37,7,0,27,46.47285266173463
16,44,5,11,39,86.64241001138343
0,50,7,4,83,56.586374437782915
15,44,3,2,96,62.83188429483299
11,38,2,0,75,47.83316355618233
18,50,6,3,14,73.98786023742058
13,38,2,7,40,61.19564770139243
5,39,3,2,38,40.42371893732193
5,49,6,9,1,57.99740824982104
12,54,5,1,62,53.90462857718552
18,50,8,10,28,100.0
7,55,9,8,73,83.91919502124446
1,38,3,9,65,57.198126767098
0,32,10,4,50,82.3668625201298
14,49,3,13,74,94.47827948572281
0,54,3,6,76,34.0635503018015
4,55,6,10,9,53.46371942788486
15,40,1,10,13,69.54085128833995
18,35,7,1,81,95.39363510184806
3,31,1,8,50,47.311452880411004
2,36,5,12,72,84.59665400198742
16,47,10,8,38,99.86618795618118
16,56,8,3,27,72.27240323204224
11,31,4,3,2,56.41428637796716
13,56,5,5,83,66.78437402093172
5,46,4,9,69,66.75296953099618
2,40,4,9,26,68.46951672971785
8,56,8,9,1,70.91374980893463
